frame_index,time_s,raw_diff,smooth_diff,progress
321,9.294539,10433970.000,10433575.000,0.992579
322,9.323493,10432950.000,10432950.000,0.992519
323,9.352448,10432911.000,10432911.000,0.992516
324,9.381403,10391450.000,10391450.000,0.988571
325,9.410358,10391415.000,10391415.000,0.988568
326,9.439313,10391415.000,10391415.000,0.988568
327,9.468268,10391415.000,10391415.000,0.988568
328,9.497223,10391415.000,10391415.000,0.988568
329,9.526178,10393129.000,10393129.000,0.988731
330,9.555133,10396330.000,10393129.000,0.988731
331,9.584088,10399751.000,10393129.000,0.988731
332,9.613043,6336968.000,6336968.000,0.602856
333,9.641998,6336709.000,6336709.000,0.602831
334,9.670953,5921522.000,5921522.000,0.563333
335,9.699908,5536106.000,5536106.000,0.526667
336,9.728863,5535189.000,5535189.000,0.526580
337,9.757818,4655845.000,4655845.000,0.442925
338,9.786773,4655405.000,4655405.000,0.442883
339,9.815728,3832839.000,3832839.000,0.364630
340,9.844683,3416126.000,3416126.000,0.324987
341,9.873637,2737393.000,2737393.000,0.260417
342,9.902592,2121819.000,2121819.000,0.201855
343,9.931547,1626548.000,1626548.000,0.154739
344,9.960502,1410464.000,1410464.000,0.134182
345,9.989457,1246788.000,1246788.000,0.118611
346,10.018412,938077.000,938077.000,0.089242
347,10.047367,666925.000,666925.000,0.063447
348,10.076322,428461.000,428461.000,0.040761
349,10.105277,300298.000,300298.000,0.028568
350,10.134232,203328.000,203328.000,0.019343
351,10.163187,149946.000,149946.000,0.014265
352,10.192142,101362.000,101362.000,0.009643
353,10.221097,86215.000,86215.000,0.008202
354,10.250052,73098.000,73098.000,0.006954
355,10.279007,65621.000,65621.000,0.006243
356,10.307962,65621.000,65621.000,0.006243
357,10.336917,65621.000,65621.000,0.006243
358,10.365872,65621.000,65621.000,0.006243
359,10.394827,108347.000,103273.000,0.009825
360,10.423782,106780.000,103273.000,0.009825
361,10.452736,103273.000,103273.000,0.009825
362,10.481691,99943.000,99943.000,0.009508
363,10.510646,92783.000,99943.000,0.009508
364,10.539601,89226.000,99943.000,0.009508
